pref,vacc,vacc1,vacc2
合計,2339839,2166240,173599
北海道,77032,73824,3208
青森県,35397,31860,3537
岩手県,31730,27629,4101
宮城県,34682,32084,2598
秋田県,39375,35151,4224
山形県,42135,36204,5931
福島県,50468,47289,3179
茨城県,40594,39534,1060
栃木県,26648,24309,2339
群馬県,43659,40045,3614
埼玉県,87843,86265,1578
千葉県,77135,73865,3270
東京都,211969,206207,5762
神奈川県,114365,107005,7360
新潟県,50811,46739,4072
富山県,16537,15187,1350
石川県,41479,35283,6196
福井県,24133,20716,3417
山梨県,19192,16006,3186
長野県,49169,45534,3635
岐阜県,43470,39731,3739
静岡県,51012,48942,2070
愛知県,118896,113463,5433
三重県,26415,24552,1863
滋賀県,37002,34011,2991
京都府,49415,47354,2061
大阪府,115756,108816,6940
兵庫県,76811,72782,4029
奈良県,24181,21537,2644
和歌山県,62030,53976,8054
鳥取県,24468,20196,4272
島根県,17454,14803,2651
岡山県,46152,43884,2268
広島県,46554,40322,6232
山口県,72126,66402,5724
徳島県,22282,19318,2964
香川県,31338,25644,5694
愛媛県,15468,13933,1535
高知県,32500,29580,2920
福岡県,73442,70888,2554
佐賀県,29319,26519,2800
長崎県,23024,19903,3121
熊本県,38347,35128,3219
大分県,30075,26321,3754
宮崎県,43108,38662,4446
鹿児島県,48265,44578,3687
沖縄県,26576,24259,2317
